example_id                            | status  | run_time        |
------------------------------------- | ------- | --------------- |
./spec/redd/api_client_spec.rb[1:1:1] | passed  | 0.0032 seconds  |
./spec/redd/api_client_spec.rb[1:1:2] | passed  | 0.00038 seconds |
./spec/redd/api_client_spec.rb[1:2:1] | passed  | 0.00025 seconds |
./spec/redd/api_client_spec.rb[1:2:2] | passed  | 0.00011 seconds |
./spec/redd/api_client_spec.rb[1:3:1] | passed  | 0.00012 seconds |
./spec/redd/api_client_spec.rb[1:3:2] | passed  | 0.00046 seconds |
./spec/redd/api_client_spec.rb[1:4]   | pending | 0.00001 seconds |
./spec/redd/api_client_spec.rb[1:5]   | pending | 0 seconds       |
./spec/redd/api_client_spec.rb[1:6]   | pending | 0 seconds       |
./spec/redd/client_spec.rb[1:1:1]     | passed  | 0.0025 seconds  |
./spec/redd/client_spec.rb[1:2:1]     | passed  | 0.00095 seconds |
./spec/redd/client_spec.rb[1:3:1]     | passed  | 0.00091 seconds |
./spec/redd/client_spec.rb[1:4:1]     | passed  | 0.00088 seconds |
./spec/redd/client_spec.rb[1:5:1]     | passed  | 0.00084 seconds |
./spec/redd/version_spec.rb[1:1]      | passed  | 0.00041 seconds |
./spec/redd_spec.rb[1:1:1]            | passed  | 0.00046 seconds |
./spec/redd_spec.rb[1:1:2:1]          | passed  | 0.00919 seconds |
./spec/redd_spec.rb[1:1:3:1]          | passed  | 0.00056 seconds |
./spec/redd_spec.rb[1:1:4:1]          | passed  | 0.00022 seconds |
./spec/redd_spec.rb[1:1:5:1]          | passed  | 0.00029 seconds |
